Tone     Frekvens (Hz)

    Oktav  1      2      3      4      5     6     7     8

C        32,72  65,4   130,8  261,6  523,3  785  1308  2616
C#/Db    34,66  69,3   138,6  277,3  554,5  832  1386  2772
D        36,72  73,45  143,9  293,8  587,5  881  1468  2936
D#/Eb    38,91  77,83  155,6  311,3  622,5  933  1556  3112
E        41,23  82,45  164,9  329,8  659,5  989  1648  3296
F        43,65  87,33  174,6  349,3  698,5 1048  1746  3492
F#/Gb    46,25  92,5   185    370    740   1110  1850  3700
G        49     98     196    392    784   1176  1960  3920
G#/Ab    51,91  103,83 207,6  415,3  830,5 1246  2077  4154
A        55     110    220    440    880   1320  2200  4400
A#/B     58,29  116,6  233,1  466,3  932,5 1398  2331  4662
H        61,75  123,5  247    494    988   1482  2469  4938
